year,taxa,impact,effect,country,country_code,location,location_short,location_code,author,title,doi
2015,bats,direct,collision,Multiple,MUL,Europe,Europe,EU,Peste et al.,How to mitigate impacts of wind farms on bats? A review of potential conservation measures in the European context.,https://doi.org/10.1016/j.eiar.2014.11.001
2015,bats,direct,collision,Portugal,PT,Europe,Europe,EU,Ferreira et al.,Do habitat characteristics determine mortality risk for bats at wind farms? Modelling susceptible species activity patterns and anticipating possible mortality events.,https://doi.org/10.1016/j.ecoinf.2015.04.001
2015,bats,direct,collision,Multiple,MUL,Multiple,Multiple,MUL,Schuster et al.,Consolidating the state of knowledge:  A synoptic review of wind energy's wildlife effects.,https://doi.org/10.1007/s00267-015-0501-5
2015,birds,direct,collision,Multiple,MUL,Multiple,Multiple,MUL,Schuster et al.,Consolidating the state of knowledge:  A synoptic review of wind energy's wildlife effects.,https://doi.org/10.1007/s00267-015-0501-5
2015,birds,direct,collision,Multiple,MUL,Multiple,Multiple,MUL,May et al.,"Mitigating wind-turbine induced avian mortality: Sensory, aerodynamic and cognitive constraints and options.",https://doi.org/10.1016/j.rser.2014.10.002
2015,birds,disturbance,reduced_reprodution,Ireland,IE,Europe,Europe,EU,Fernández-Bellon,Reproductive output of Hen Harriers Circus cyaneus in relation to wind turbine proximity,https://birdwatchireland.ie/app/uploads/2019/04/Irish-Birds-2015-Part-1.pdf#page=10
2015,herpetofauna,direct,habitat_alteration,USA,US,North America,N.America,NA,Agha et al.,Turbines and terrestrial vertebrates: variation in tortoise suvivorship between a wind energy facility and an adjacent undisturbed wildland area in the desert southwest (USA). ,https://doi.org/10.1007/s00267-015-0498-9
2015,invertebrates,direct,invasive_spp,Poland,PL,Europe,Europe,EU,Dudek et al.,"Wind turbines as overwintering sites attractive to an invasive lady beetle, Harmonia axyridis Pallas (Coleoptera: Coccinellidae).",https://doi.org/10.1649/0010-065X-69.4.665
2016,bats,direct,collision,United Kingdom,UK,Europe,Europe,EU,Lintott et al.,Ecological impact assessments fail to reduce risk of bat casualties at wind farms.,https://doi.org/10.1016/j.cub.2016.10.003
2016,bats,direct,collision,Multiple,MUL,Multiple,Multiple,MUL,Arnett et al.,Impacts of Wind Energy Development on Bats: A Global Perspective.,https://link.springer.com/book/10.1007/978-3-319-25220-9
2016,bats,direct,collision,Sweden,SE,Europe,Europe,EU,Rydell et al.,Bats may eat diurnal flies that rest on wind turbines. ,https://doi.org/10.1016/j.mambio.2016.01.005
2016,birds,direct,collision,Sweden,SE,Europe,Europe,EU,Singh et al.,Habitat selection by adult Golden Eagles Aquila chrysaetos during the breeding seasons and implications for wind farm establishment.,https://doi.org/10.1080/00063657.2016.1183110 
2016,birds,direct,collision,Ireland,IE,Europe,Europe,EU,Wilson et al.,Hen harrier Circus cyaneus population trends in relation to wind farms.,https://doi.org/10.1080/00063657.2016.1262815
2016,birds,direct,collision,Portugal,PT,Europe,Europe,EU,Bastos et al.,Evaluating the regional cumulative impact of wind farms on birds: how can spatially explicit dynamic modelling improve impact assessments and monitoring?,https://doi.org/10.1111/1365-2664.12451
2016,birds,direct,collision,Multiple,MUL,Europe,Europe,EU,Vasilakis et al.,Reconciling endangered species conservation with wind farm development: Cinereous vultures (Aegypius monachus) in south-eastern Europe,10.1016/j.biocon.2016.01.014
2016,invertebrates,direct,collision,Multiple,MUL,Multiple,Multiple,MUL,Wilcox & White,Computational analysis of insect impingement patterns on wind turbine blades.,https://doi.org/10.1002/we.1846
2016,invertebrates,disturbance,alteration_trophic_levels,Sweden,SE,Multiple,Multiple,MUL,Rydell et al.,Bats may eat diurnal flies that rest on wind turbines. ,https://doi.org/10.1016/j.mambio.2016.01.005
2016,mammals,direct,habitat_alteration,Poland,PL,Europe,Europe,EU,Lopucki and Mroz,An assessment of non-volant terrestrial vertebrates response to wind farms - a study of small mammals.,http://dx.doi.org/10.1007%2Fs10661-016-5095-8
2016,mammals,disturbance,increased_stress,United Kingdom,UK,Europe,Europe,EU,Agnew et al.,Wind turbines cause chronic stress in badgers (Meles meles) in Great Britain. ,https://doi.org/10.7589/2015-09-231
2016,vegetation,direct,habitat_alteration,United Kingdom,UK,Europe,Europe,EU,Armstrong et al.,Ground-level climate at a peatland wind farm in Scotland is affected by wind turbine operation. ,https://doi-org.elib.tcd.ie/10.1088/1748-9326/11/4/044024
2017,bats,direct,collision,USA,US,North America,N.America,NA,Foo et al.,Increasing evidence that bats actively forage at wind turbines.,https://doi.org/10.7717/peerj.3985
2017,bats,direct,collision,United Kingdom,UK,Europe,Europe,EU,Newson et al.,Large-scale citizen science improves assessment risk posed by wind farms to bats in southern Scotland.,https://doi.org/10.1016/j.biocon.2017.09.004
2017,bats,direct,collision,USA,US,North America,N.America,NA,Hu et al.,Wind turbine sensor array for monitoring avian and bat collisions.,https://doi.org/10.1002/we.2160
2017,bats,direct,collision,USA,US,North America,N.America,NA,Bennett et al. ,When the excrement hits the fan: Fecal surveys reveal species-specific bat activity at wind turbines. ,https://doi.org/10.1016/j.mambio.2017.08.003
2017,bats,disturbance,reduced_reprodution,Mexico,MX,North America,N.America,NA,Briones-Salas et al.,Effects of a wind farm installation on the understory bat community of a highly biodiverse tropical region in Mexico. ,https://doi.org/10.7717/peerj.3424
2017,birds,direct,collision,USA,US,North America,N.America,NA,Hu et al.,Wind turbine sensor array for monitoring avian and bat collisions.,https://doi.org/10.1002/we.2160
2017,birds,direct,habitat_alteration,Spain,ES,Europe,Europe,EU,Farfán et al.,Differential recovery of habitat use by birds after wind farm installation: A multi-year comparison,10.1016/j.eiar.2017.02.001
2017,herpetofauna,disturbance,alteration_trophic_levels,USA,US,North America,N.America,NA,Agha et al.,Mammalian mesocarnivore visitation at tortoise burrows in a wind farm,10.1002/jwmg.21262
2017,mammals,direct,habitat_alteration,Poland,PL,Europe,Europe,EU,Lopucki et al.,Do terrestrial animals avoid areas close to turbines in functioning wind farms in agricultural landscapes.,https://doi.org/10.1007/s10661-017-6018-z
2017,mammals,disturbance,alteration_trophic_levels,USA,US,North America,N.America,NA,Agha et al.,Mammalian mesocarnivore visitation at tortoise burrows in a wind farm,10.1002/jwmg.21262
2017,vegetation,direct,habitat_alteration,China,CN,Asia,Asia,AS,Tang et al.,The Observed Impacts of Wind Farms on Local Vegetation Growth in Northern China,10.3390/rs9040332
2017,vegetation,direct,habitat_alteration,USA,US,North America,N.America,NA,Xia and Zhou,Detecting Wind Farm Impacts on Local Vegetation Growth in Texas and Illinois Using MODIS Vegetation Greenness Measurements,10.3390/rs9070698
2018,bats,direct,collision,Canada,CA,North America,N.America,NA,Reimer et al.,Echolocation activity of migratory bats at a wind energy facility: testing the feeding-attraction hypothesis to explain fatalities.,https://doi.org/10.1093/jmammal/gyy143
2018,bats,direct,collision,Multiple,MUL,Multiple,Multiple,MUL,Laranjeiro et al. ,Impacts of onshore wind energy production on birds and bats: recommendations for future life cycle impact assessment developments.,10.1007/s11367-017-1434-4
2018,bats,direct,habitat_alteration,France,FR,Europe,Europe,EU,Barre et al.,Estimating habitat loss due to wind turbine avoidance by bats: Implications for European siting guidance. ,https://doi.org/10.1016/j.biocon.2018.07.011
2018,birds,direct,collision,Spain,ES,Europe,Europe,EU,Sebastian-Gonzalez et al.,Using network analysis to identify indicator species and reduce collision fatalities at wind farms.,https://doi.org/10.1016/j.biocon.2018.06.003
2018,birds,direct,collision,Multiple,MUL,Multiple,Multiple,MUL,Laranjeiro et al. ,Impacts of onshore wind energy production on birds and bats: recommendations for future life cycle impact assessment developments.,10.1007/s11367-017-1434-4
2018,birds,direct,habitat_alteration,Ireland,IE,Europe,Europe,EU,Fernandez-Bellon,Effects of development of wind energy and associated changes in land use on bird densities in upland areas.,https://doi.org/10.1111/cobi.13239
2018,herpetofauna,disturbance,alteration_trophic_levels,India,IN,Asia,Asia,AS,Thaker et al.,Wind farms have cascading impacts on ecosystems across trophic levels.,https://doi.org/10.1038/s41559-018-0707-z
2018,invertebrates,disturbance,reduced_reprodution,Poland,PL,Europe,Europe,EU,Pustkowiak et al. ,The association of windmills with conservation of pollinating insects and wild plants in homogenous farmland of western Poland.,https://doi.org/10.1007/s11356-017-0864-7
2018,mammals,direct,habitat_alteration,Portugal,PL,Europe,Europe,EU,da Costa et al. ,The indirect impacts of wind farms on terrestrial mammals: insights from the disturbance and exclusion effects on wolves (Canis lupus).,https://doi.org/10.1007/978-3-319-60351-3_5
2018,mammals,direct,habitat_alteration,Sweden,SE,Europe,Europe,EU,Skarin et al.,Out of sight of wind turbines - Reindeer response to wind farms in operation.,https://doi.org/10.1002/ece3.4476
2018,mammals,disturbance,increased_stress,Poland,PL,Europe,Europe,EU,Lopucki et al.,Living in habitats affected by wind turbines may result in an increase in corticosterone levels in ground dwelling animals.,http://dx.doi.org/10.1016/j.ecolind.2017.08.052
2018,vegetation,direct,habitat_alteration,Sahara,,Africa,Africa,AF,Li et al.,Climate model shows large-scale wind and solar farms in the Sahara increase rain and vegetation,10.1126/science.aar5629
2019,bats,direct,collision,USA,US,North America,N.America,NA,Hayes et al.,A smart curtailment approach for reducting bat fatalities and curtailment time at wind energy facilities.,https://doi-org.elib.tcd.ie/10.1002/eap.1881
2019,birds,direct,collision,United Kingdom,UK,Europe,Europe,EU,Thaxter et al.,Avian vulnerability to wind farm collision through the year: Insights from lesser black-blacked gulls (Larus fuscus) tracked from multiple breeding colonies.,https://doi.org/10.1111/1365-2664.13488
2019,birds,direct,habitat_alteration,USA,US,North America,N.America,NA,Dohm et al.,A long-term assessment of raptor displacement at a wind farm,10.1002/fee.2089
2019,herpetofauna,disturbance,reduced_reprodution,Spain,ES,Europe,Europe,EU,Caorsi et al. ,Anthropogenic substrate-borne vibrations impact anuran calling. ,https://doi.org/10.1038/s41598-019-55639-0
2019,herpetofauna,disturbance,reduced_reprodution,USA,US,North America,N.America,NA,Keehn et al.,Population-level effects of wind farms on a desert lizard,10.1002/jwmg.21565
2019,mammals,direct,habitat_alteration,Brazil,BR,South America,S.America,SA,de Matos Dias et al.,Human activities influence the occupancy probability of mammalian carnivores in the Brazilian Caatinga.,https://doi.org/10.1111/btp.12628
2019,vegetation,direct,habitat_alteration,Romania,RO,Europe,Europe,EU,Patru-Stupariu et al.,Do wind turbines impact plant community properties in mountain regions?,https://doi.org/10.2478/s11756-019-00333-9
2019,vegetation,direct,habitat_alteration,China,CN,Asia,Asia,AS,Xu et al. ,Positive ecological effects of wind farms on vegetation in China’s Gobi desert,10.1038/s41598-019-42569-0
2020,bats,direct,collision,USA,US,North America,N.America,NA,Smallwood et al.,Dogs detect larger wind energy effects on bats and birds.,https://doi.org/10.1002/jwmg.21863
2020,bats,direct,collision,USA,US,North America,N.America,NA,Smallwood and Bell,Relating bat passage rates to wind turbine fatalities.,https://doi.org/10.3390/d12020084
2020,bats,direct,collision,Spain,ES,Europe,Europe,EU,del Valle et al.,Factors affecting carcass detection at wind farms using dogs and human searchers.,https://doi.org/10.1111/1365-2664.13714
2020,bats,direct,collision,USA,US,North America,N.America,NA,Smallwood and Bell,Effects of wind turbine curtailment on bird and bat fatalities.,https://doi.org/10.1002/jwmg.21844
2020,bats,direct,collision,USA,US,North America,N.America,NA,Weaver et al.,Ultrasonic acoustic deterrents significantly reduce bat fatalities at wind turbines. ,https://doi.org/10.1016/j.gecco.2020.e01099
2020,bats,direct,collision,USA,US,North America,N.America,NA,Lawson et al. ,An investigation into the potential for wind turbines to cause barotrauma in bats,10.1371/journal.pone.0242485
2020,birds,direct,collision,USA,US,North America,N.America,NA,Smallwood et al.,Dogs detect larger wind energy effects on bats and birds.,https://doi.org/10.1002/jwmg.21863
2020,birds,direct,collision,Multiple,MUL,Multiple,Multiple,MUL,Coppers et al.,The impact of wind energy facilities on grouse: a systematic review.,https://doi.org/10.1007/s10336-019-01696-1
2020,birds,direct,collision,Spain,ES,Europe,Europe,EU,del Valle et al.,Factors affecting carcass detection at wind farms using dogs and human searchers.,https://doi.org/10.1111/1365-2664.13714
2020,birds,direct,collision,USA,US,North America,N.America,NA,Smallwood and Bell,Effects of wind turbine curtailment on bird and bat fatalities.,https://doi.org/10.1002/jwmg.21844
2020,herpetofauna,disturbance,increased_stress,USA,US,North America,N.America,NA,Alaasam et al. ,Ectoparasite load is reduced in side-blotched lizards (Uta stansburiana) at wind farms: Implications for oxidative stress. ,https://www.journals.uchicago.edu/doi/abs/10.1086/712100
2020,invertebrates,disturbance,alteration_trophic_levels,Sweden,SE,Europe,Europe,EU,Jansson et al. ,A Scheimpflug lidar used to observe insect swarming at a wind turbine. ,https://doi.org/10.1016/j.ecolind.2020.106578
2020,mammals,disturbance,increased_stress,Poland,PL,Europe,Europe,EU,Klich et al. ,Roe deer response to a wind farms: Methodological and practical implications. ,https://doi-org.elib.tcd.ie/10.1016/j.ecolind.2020.106658
2021,bats,direct,collision,Sweden,SE,Europe,Europe,EU,de Jong et al.,Activity pattern and correlation between bat and insect abundance at wind turbines in South Sweden.,https://doi.org/10.3390/ani11113269
2021,bats,direct,collision,USA,US,North America,N.America,NA,Adams et al.,A review of the effectiveness of operational curtailment for reducing bat fatalities at terrestrial wind farms in North America.,https://doi.org/10.1371/journal.pone.0256382
2021,bats,direct,collision,Germany,DE,Europe,Europe,EU,Kruszynski et al.,High vulnerability of juvenile Nathusius' pipistrelle bats (Pipostrellus nathusii) at wind turbines.,https://doi.org/10.1002/eap.2513
2021,bats,direct,collision,Germany,DE,Europe,Europe,EU,Voigt et al.,Limitations of acoustic monitoring at wind turbines to evaluate fatality risk of bats.,https://doi.org/10.1111/mam.12248
2021,birds,direct,collision,Multiple,MUL,Multiple,Multiple,MUL,Scholl & Nopp-Mayr,Impact of wind power plants on mammalian and avian wildlife species in shrub - and woodlands.,https://doi.org/10.1111/mam.12248
2021,birds,direct,collision,South Africa,ZA,Africa,Africa,AF,Murgatroyd et al.,A predictive model for improving placement of wind turbines to minimise collision risk potential for a large soaring raptor.,https://doi.org/10.1111/1365-2664.13799
2021,birds,direct,habitat_alteration,USA,US,North America,N.America,NA,Puffer et al.,Birds not in flight: using camera traps to observe ground use of birds at a wind-energy facility,10.1071/WR21071
2021,birds,direct,habitat_alteration,Spain,ES,Europe,Europe,EU,Gomez-Catasus et al.,Landscape features associated to wind farms increase mammalian predator abundance and ground-nest predation.,https://doi.org/10.1007/s10531-021-02212-9
2021,birds,direct,habitat_alteration,Multiple,MUL,Multiple,Multiple,MUL,Marques et al.,Bird displacement by wind turbines: Assessing current knowledge and recommendations for future studies,https://doi.org/10.3390/birds2040034
2021,birds,disturbance,behavioural_change,USA,US,North America,N.America,NA,Diffendorfer et al. ,Demographic and potential biological removal models identify raptor species sensitive to current and future wind energy,10.1002/ecs2.3531
2021,invertebrates,direct,collision,Germany,DE,Europe,Europe,EU,Voigt,Insect fatalities at wind turbines as biodiversity sinks.,https://doi.org/10.1111/csp2.366
2021,invertebrates,direct,habitat_alteration,Netherlands,NL,Europe,Europe,EU,Velilla et al. ,Vibrational noise from wind energy-turbines negatively impacts earthworm abundance. ,https://doi.org/10.1111/oik.08166
2021,invertebrates,direct,habitat_alteration,Sweden,SE,Europe,Europe,EU,de Jong et al.,Activity pattern and correlation between bat and insect abundance at wind turbines in South Sweden.,https://doi.org/10.3390/ani11113269
2021,mammals,direct,habitat_alteration,Multiple,MUL,Multiple,Multiple,MUL,Scholl & Nopp-Mayr,Impact of wind power plants on mammalian and avian wildlife species in shrub - and woodlands.,https://doi-org.elib.tcd.ie/10.1016/j.biocon.2021.109037
2021,mammals,disturbance,alteration_trophic_levels,Spain,ES,Europe,Europe,EU,Gomez-Catasus et al.,Landscape features associated to wind farms increase mammalian predator abundance and ground-nest predation.,https://doi.org/10.1007/s10531-021-02212-9
2021,vegetation,direct,habitat_alteration,Romania,RO,Europe,Europe,EU,Urziceanu et al.,"Local-scale impact of wind energy farms on rare, endemic, and threatened plant species.",https://doi.org/10.7717/peerj.11390
