Year_Cat,Year,Taxa,Effort,Frequency
2012-2015,2014,Birds,Opportunistic,1
2012-2015,2014,Birds,Scoping,0
2012-2015,2014,Herpetofauna,Fieldbased,0
2012-2015,2014,Herpetofauna,Opportunistic,1
2012-2015,2014,Herpetofauna,Scoping,0
2012-2015,2014,Invertebrates,Fieldbased,0
2012-2015,2014,Invertebrates,Opportunistic,2
2012-2015,2014,Invertebrates,Scoping,0
2012-2015,2014,Mammals,Fieldbased,1
2012-2015,2014,Mammals,Opportunistic,5
2012-2015,2014,Mammals,Scoping,0
2012-2015,2014,Vegetation,Fieldbased,6
2012-2015,2014,Vegetation,Opportunistic,0
2012-2015,2014,Vegetation,Scoping,0
2012-2015,2015,Bats,Fieldbased,5
2012-2015,2015,Bats,Opportunistic,0
2012-2015,2015,Bats,Scoping,0
2012-2015,2015,Birds,Fieldbased,5
2012-2015,2015,Birds,Opportunistic,0
2012-2015,2015,Birds,Scoping,0
2012-2015,2015,Herpetofauna,Fieldbased,0
2012-2015,2015,Herpetofauna,Opportunistic,3
2012-2015,2015,Herpetofauna,Scoping,1
2012-2015,2015,Invertebrates,Fieldbased,0
2012-2015,2015,Invertebrates,Opportunistic,4
2012-2015,2015,Invertebrates,Scoping,0
2012-2015,2015,Mammals,Fieldbased,2
2012-2015,2015,Mammals,Opportunistic,3
2012-2015,2015,Mammals,Scoping,0
2012-2015,2015,Vegetation,Fieldbased,5
2012-2015,2015,Vegetation,Opportunistic,0
2012-2015,2015,Vegetation,Scoping,0
2016-2019,2016,Bats,Fieldbased,2
2016-2019,2016,Bats,Opportunistic,0
2016-2019,2016,Bats,Scoping,1
2016-2019,2016,Birds,Fieldbased,2
2016-2019,2016,Birds,Opportunistic,1
2016-2019,2016,Birds,Scoping,0
2016-2019,2016,Herpetofauna,Fieldbased,0
2016-2019,2016,Herpetofauna,Opportunistic,1
2016-2019,2016,Herpetofauna,Scoping,1
2016-2019,2016,Invertebrates,Fieldbased,0
2016-2019,2016,Invertebrates,Opportunistic,0
2016-2019,2016,Invertebrates,Scoping,2
2016-2019,2016,Mammals,Fieldbased,0
2016-2019,2016,Mammals,Opportunistic,3
2016-2019,2016,Mammals,Scoping,0
2016-2019,2016,Vegetation,Fieldbased,3
2016-2019,2016,Vegetation,Opportunistic,0
2016-2019,2016,Vegetation,Scoping,0
2016-2019,2017,Bats,Fieldbased,2
2016-2019,2017,Bats,Opportunistic,0
2016-2019,2017,Bats,Scoping,0
2016-2019,2017,Birds,Fieldbased,2
2016-2019,2017,Birds,Opportunistic,0
2016-2019,2017,Birds,Scoping,0
2016-2019,2017,Herpetofauna,Fieldbased,0
2016-2019,2017,Herpetofauna,Opportunistic,2
2016-2019,2017,Herpetofauna,Scoping,0
2016-2019,2017,Invertebrates,Fieldbased,0
2016-2019,2017,Invertebrates,Opportunistic,1
2016-2019,2017,Invertebrates,Scoping,0
2016-2019,2017,Mammals,Fieldbased,2
2016-2019,2017,Mammals,Opportunistic,0
2016-2019,2017,Mammals,Scoping,0
2016-2019,2017,Vegetation,Fieldbased,2
2016-2019,2017,Vegetation,Opportunistic,0
2016-2019,2017,Vegetation,Scoping,0
2016-2019,2018,Bats,Fieldbased,1
2016-2019,2018,Bats,Opportunistic,0
2016-2019,2018,Bats,Scoping,0
2016-2019,2018,Birds,Fieldbased,1
2016-2019,2018,Birds,Opportunistic,0
2016-2019,2018,Birds,Scoping,0
2016-2019,2018,Herpetofauna,Fieldbased,0
2016-2019,2018,Herpetofauna,Opportunistic,1
2016-2019,2018,Herpetofauna,Scoping,0
2016-2019,2018,Invertebrates,Fieldbased,0
2016-2019,2018,Invertebrates,Opportunistic,1
2016-2019,2018,Invertebrates,Scoping,0
2016-2019,2018,Mammals,Fieldbased,0
2016-2019,2018,Mammals,Opportunistic,1
2016-2019,2018,Mammals,Scoping,0
2016-2019,2018,Vegetation,Fieldbased,1
2016-2019,2018,Vegetation,Opportunistic,0
2016-2019,2018,Vegetation,Scoping,0
2016-2019,2019,Bats,Fieldbased,1
2016-2019,2019,Bats,Opportunistic,0
2016-2019,2019,Bats,Scoping,0
2016-2019,2019,Birds,Fieldbased,1
2016-2019,2019,Birds,Opportunistic,0
2016-2019,2019,Birds,Scoping,0
2016-2019,2019,Herpetofauna,Fieldbased,0
2016-2019,2019,Herpetofauna,Opportunistic,1
2016-2019,2019,Herpetofauna,Scoping,0
2016-2019,2019,Invertebrates,Fieldbased,0
2016-2019,2019,Invertebrates,Opportunistic,1
2016-2019,2019,Invertebrates,Scoping,0
2016-2019,2019,Mammals,Fieldbased,1
2016-2019,2019,Mammals,Opportunistic,0
2016-2019,2019,Mammals,Scoping,0
2016-2019,2019,Vegetation,Fieldbased,1
2016-2019,2019,Vegetation,Opportunistic,0
2016-2019,2019,Vegetation,Scoping,0
2020-2021,2020,Bats,Fieldbased,2
2020-2021,2020,Bats,Opportunistic,0
2020-2021,2020,Bats,Scoping,0
2020-2021,2020,Birds,Fieldbased,2
2020-2021,2020,Birds,Opportunistic,0
2020-2021,2020,Birds,Scoping,0
2020-2021,2020,Herpetofauna,Fieldbased,0
2020-2021,2020,Herpetofauna,Opportunistic,1
2020-2021,2020,Herpetofauna,Scoping,0
2020-2021,2020,Invertebrates,Fieldbased,2
2020-2021,2020,Invertebrates,Opportunistic,0
2020-2021,2020,Invertebrates,Scoping,0
2020-2021,2020,Mammals,Fieldbased,2
2020-2021,2020,Mammals,Opportunistic,0
2020-2021,2020,Mammals,Scoping,0
2020-2021,2020,Vegetation,Fieldbased,2
2020-2021,2020,Vegetation,Opportunistic,0
2020-2021,2020,Vegetation,Scoping,0
2020-2021,2021,Bats,Fieldbased,2
2020-2021,2021,Bats,Opportunistic,0
2020-2021,2021,Bats,Scoping,0
2020-2021,2021,Birds,Fieldbased,2
2020-2021,2021,Birds,Opportunistic,0
2020-2021,2021,Birds,Scoping,0
2020-2021,2021,Herpetofauna,Fieldbased,0
2020-2021,2021,Herpetofauna,Opportunistic,1
2020-2021,2021,Herpetofauna,Scoping,0
2020-2021,2021,Invertebrates,Fieldbased,0
2020-2021,2021,Invertebrates,Opportunistic,1
2020-2021,2021,Invertebrates,Scoping,0
2020-2021,2021,Mammals,Fieldbased,1
2020-2021,2021,Mammals,Opportunistic,1
2020-2021,2021,Mammals,Scoping,0
2020-2021,2021,Vegetation,Fieldbased,2
2020-2021,2021,Vegetation,Opportunistic,0
2020-2021,2021,Vegetation,Scoping,0
